regime,regime_name,mean_ret_d,median_ret_d,vol_d,sharpe_d,max_drawdown,days,segments
0,Risk-On (Inverted),0.0007038085267161757,0.0007509755941104146,0.012230662337993012,0.05754459629957105,-0.2524600811026372,2667,114
1,Risk-Off,0.003668829222261805,-0.0016610054537223862,0.04608350862703922,0.07961262784815698,-0.5415282853746178,497,176
2,Risk-On (Steepening),0.0007659406880864258,0.0008670307455043158,0.013166843773684133,0.05817192800732325,-0.5253172945669873,2000,145
