regime,regime_name,mean_ret_d,median_ret_d,vol_d,sharpe_d,max_drawdown,days,segments
0,Regime 0,0.00064858158234977,0.0008899755154213596,0.02033912063531958,0.031888378754363934,-0.4688382335604959,740,57
1,Regime 1,0.0005434760125796887,0.0006880362443352217,0.01595810564013364,0.03405642404151533,-0.5135362165373323,966,25
2,Regime 2,0.0014563051580511342,-0.0015651598591330806,0.03729621910232915,0.039046991708609625,-0.49195504700413617,343,39
