start_date,end_date,regime,regime_name,start_price,end_price,ret,duration_days
2007-11-07,2007-11-30,2,Regime 2,1475.6199951171875,1481.1400146484375,0.003740813725427783,17
2007-11-30,2007-12-03,0,Regime 0,1481.1400146484375,1472.4200439453125,-0.005887337197621245,2
2007-12-03,2007-12-05,2,Regime 2,1472.4200439453125,1485.010009765625,0.00855052596715411,3
2007-12-05,2007-12-17,0,Regime 0,1485.010009765625,1445.9000244140625,-0.026336512948983537,9
2007-12-17,2007-12-18,2,Regime 2,1445.9000244140625,1454.97998046875,0.006279795215002659,2
2007-12-18,2007-12-19,0,Regime 0,1454.97998046875,1453.0,-0.0013608300425632658,2
2007-12-19,2007-12-20,2,Regime 2,1453.0,1460.1199951171875,0.004900203108869627,2
2007-12-20,2008-01-02,0,Regime 0,1460.1199951171875,1447.1600341796875,-0.008875956072678659,8
2008-01-02,2008-01-31,2,Regime 2,1447.1600341796875,1378.550048828125,-0.047410088539691864,21
2008-01-31,2008-02-05,0,Regime 0,1378.550048828125,1336.6400146484375,-0.030401532548864907,4
2008-02-05,2008-02-07,2,Regime 2,1336.6400146484375,1336.9100341796875,0.00020201365236016677,3
2008-02-07,2008-02-08,0,Regime 0,1336.9100341796875,1331.2900390625,-0.004203719751894819,2
2008-02-08,2008-02-12,2,Regime 2,1331.2900390625,1348.8599853515625,0.013197684782074504,3
2008-02-12,2008-02-28,0,Regime 0,1348.8599853515625,1367.6800537109375,0.013952573702058269,12
2008-02-28,2008-03-11,1,Regime 1,1367.6800537109375,1320.6500244140625,-0.03438671871339205,9
2008-03-11,2008-03-12,0,Regime 0,1320.6500244140625,1308.77001953125,-0.008995573894062803,2
2008-03-12,2008-03-14,1,Regime 1,1308.77001953125,1288.1400146484375,-0.01576289537118325,3
2008-03-14,2008-03-18,2,Regime 2,1288.1400146484375,1330.739990234375,0.03307092016512203,3
2008-03-18,2008-03-19,0,Regime 0,1330.739990234375,1298.4200439453125,-0.02428719849575589,2
2008-03-19,2008-03-24,2,Regime 2,1298.4200439453125,1349.8800048828125,0.039632753035093726,3
2008-03-24,2008-05-21,0,Regime 0,1349.8800048828125,1390.7099609375,0.030247100414108274,43
2008-05-21,2008-05-22,1,Regime 1,1390.7099609375,1394.3499755859375,0.0026173787135195248,2
2008-05-22,2008-05-23,0,Regime 0,1394.3499755859375,1375.9300537109375,-0.013210400686713863,2
2008-05-23,2008-05-27,1,Regime 1,1375.9300537109375,1385.3499755859375,0.006846221470047986,2
2008-05-27,2008-06-20,0,Regime 0,1385.3499755859375,1317.9300537109375,-0.04866634645623358,19
2008-06-20,2008-06-23,1,Regime 1,1317.9300537109375,1318.0,5.307283862721057e-05,2
2008-06-23,2008-06-24,0,Regime 0,1318.0,1314.2900390625,-0.002814841378983357,2
2008-06-24,2008-06-25,1,Regime 1,1314.2900390625,1321.969970703125,0.005843407020038827,2
2008-06-25,2008-06-26,0,Regime 0,1321.969970703125,1283.1500244140625,-0.029365225496321257,2
2008-06-26,2008-07-16,1,Regime 1,1283.1500244140625,1245.3599853515625,-0.029450990409135125,14
2008-07-16,2008-09-09,0,Regime 0,1245.3599853515625,1224.510009765625,-0.016742127442011534,39
2008-09-09,2008-09-10,2,Regime 2,1224.510009765625,1232.0400390625,0.006149422411268146,2
2008-09-10,2008-09-15,0,Regime 0,1232.0400390625,1192.699951171875,-0.03193085179322597,4
2008-09-15,2008-09-19,2,Regime 2,1192.699951171875,1255.0799560546875,0.05230150703160641,5
2008-09-19,2008-09-22,0,Regime 0,1255.0799560546875,1207.0899658203125,-0.038236599989398545,2
2008-09-22,2008-12-24,2,Regime 2,1207.0899658203125,868.1500244140625,-0.280790952624574,67
2008-12-24,2009-01-29,0,Regime 0,868.1500244140625,845.1400146484375,-0.02650464679898512,24
2009-01-29,2009-02-09,1,Regime 1,845.1400146484375,869.8900146484375,0.029285088353431687,8
2009-02-09,2009-02-10,0,Regime 0,869.8900146484375,827.1599731445312,-0.04912120013376109,2
2009-02-10,2009-02-11,1,Regime 1,827.1599731445312,833.739990234375,0.007954951041488467,2
